Year,GDP
2023,14091
2022,13813
2021,10636
2020,8496
2019,10054
2018,11786
2017,14618
2016,12773
2015,14895
2014,13209
2013,14489
2012,13890
2011,12788
2010,10413
2009,8338
2008,9147
2007,7316
2006,5976
2005,5164
2004,4314
2003,3761
2002,2998
2001,8085
2000,8639
1999,8709
1998,9283
1997,9197
1996,8645
1995,8295
1994,8379
1993,7796
1992,7654
1991,6429
1990,4858
1989,2867
1988,4524
1987,3910
1986,3857
1985,3249
1984,4375
1983,3963
1982,3258
1981,6671
1980,8361
1979,2511
1978,3280
1977,2126
1976,1946
1975,2027
1974,2846
1973,2100
1972,1411
1971,1374
1970,1325
1969,1332
1968,1144
1967,1066
1966,1278
1965,1285
1964,1180
1963,855
1962,1163
