Year,GDP
2023,14190
2022,13856
2021,13898
2020,53565
2019,49725
2018,52301
2017,47342
2016,47629
2015,48897
2014,45511
2013,42949
2012,41915
2011,48983
2010,47220
2009,44764
2008,47638
2007,43233
2006,43189
2005,47154
2004,43022
2003,37530
2002,35593
2001,35001
2000,31074
1999,25753
1998,24122
1997,24158
1996,27217
1995,27636
1994,27254
1993,30779
1992,31919
1991,27360
1990,25697
1989,26660
1988,23539
1987,20323
1986,16292
1985,16575
1984,15468
1983,12432
1982,8711
1981,8569
1980,9058
1979,9048
1978,9364
1977,11150
1976,14345
1975,12075
1974,9788
1973,8459
1972,7959
1971,7183
1970,6415
1969,4850
1968,4065
1967,3538
1966,2894
1965,2579
1964,2412
1963,2388
1962,2265
1961,2097
1960,1932
1959,1843
1958,1700
1957,1507
